id,genre,track_name,artist_name,valence,energy
1AuoE6E9GGzncRpGg0Y7vG,alt-rock,It's Your Choice,Brendan Benson,0.746,0.768
0eKCfj7xCuJNoYrLlSJe59,alt-rock,"Touch, Peel And Stand",Days Of The New,0.825,0.622
6I4vrVjeJn5z8CE8anblST,alt-rock,Metal Zone,The Vines,0.283,0.88
3GgTPvYA0DLga9PPkYIdGR,alt-rock,Indie Cindy,Pixies,0.482,0.803
1HBZrDjYFOuBcFR0GuxuRV,alt-rock,It's Time To Come Home,The Rentals,0.136,0.662
7zIHMdEBTHlk6OFSNvfLAa,alt-rock,Psycho,Puddle Of Mudd,0.575,0.907
4uUOkgfRZNelqua7IR5yOC,alt-rock,It's A Shame About Ray,The Lemonheads,0.68,0.781
7c1Dar0pIAW7w5TzaGjt9t,alt-rock,Jane Says,Jane's Addiction,0.496,0.597
6P98yCrDAOq32mjR2iCfDI,alt-rock,Slow Slow Fly,The Presidents Of The United States Of America,0.861,0.559
1EiKmk4AwuNG2CmhQcCJ8k,alt-rock,Vad Hände Med Dem?,The Brian Jonestown Massacre,0.847,0.94
1OFvNaRHw4QkUzWf1aZw1V,alt-rock,Scooby Snacks,Fun Lovin' Criminals,0.336,0.563
3RD6AMDIgly2CO5nrqUnmc,alt-rock,Brave Captain,fIREHOSE,0.766,0.826
29YBihzQOmat0U74k4ukdx,alternative,Ironic,Alanis Morissette,0.293,0.635
37LoKuV4PWzrtFicRNldtw,alternative,In the Yard,Bowerbirds,0.239,0.496
600s08VdbjiyAjDGDjYSFI,alternative,Interstate Love Song,Stone Temple Pilots,0.484,0.947
1JqTcOjOn7gEpeC0JcRVPa,alternative,We Are The People,Empire of the Sun,0.543,0.784
0ancVQ9wEcHVd0RrGICTE4,alternative,Take Me Out,Franz Ferdinand,0.49,0.664
3jfr0TF6DQcOLat8gGn7E2,alternative,Do I Wanna Know?,Arctic Monkeys,0.405,0.532
43NhiKnrtGqztxDqXrcUux,alternative,Adam's Song,blink-182,0.359,0.771
1kUmkp42FTNSl5bZmjj5Xq,alternative,I'm a Mess,Body Language,0.772,0.592
5oowXVNXkPcfZHWy8fh1Nc,alternative,Spoonman,Soundgarden,0.865,0.789
2DF4QHB5c0vMAgaMJlx73e,alternative,Next Year,Two Door Cinema Club,0.462,0.804
0jBE7Fn78EAvmIs3dCd6GO,alternative,Is This It,The Strokes,0.846,0.692
12qZHAeOyTf93YAWvGDTat,alternative,All The Small Things,blink-182,0.712,0.893
6DXFVsLcEvOTSrkG9G1Cb1,alternative,VCR,The xx,0.481,0.482
73rXtIItWU8symwYF0bEB8,alternative,I Don't Care,Fall Out Boy,0.516,0.923
0kjFrdKtGNcYGzxFjxn978,alternative,From Now On,Various Artists,0.321,0.905
0RkilKhJ6XYd6jZkeVkrxB,ambient,Dust Is the Devil's Snow,Hammock,0.038,0.384
4kYoZAi6P7yXNM1Bjbf4ST,ambient,Humectez La Mouture,Stars Of The Lid,0.0343,0.0371
25N6tLYS1uFJ3c5lsXV3y1,ambient,In the Fog II,Tim Hecker,0.034,0.477
4sEG0E3IBQHp6V2DGTnXNX,ambient,Held together by gravity,Carbon Based Lifeforms,0.0527,0.374
61YpWDuUocao6fUvMjyCDk,ambient,Melanine,Tycho,0.086,0.47
7g3bsmAi5FCf68xWXWtzeh,ambient,At First Touch,The Sight Below,0.603,0.16
5XskKD00gs4XvV0J2PY3Wf,ambient,The Dead Sea Scrolls,Fort Fairfield,0.332,0.494
4sDBBc26qdHckqRpMM6F13,ambient,Lamp Mien,Deaf Center,0.0789,0.129
09e4GqqAgTqDXSiMOUQOoz,ambient,Mountain Goat,Amorphous Androgynous,0.203,0.321
7AFWR8Ekh1QMqoLPPFMahO,ambient,A Circular Reeduction,Tycho,0.336,0.48
5hfG9ztj7AMC4hv1z2CYXK,ambient,Warmed By the Drift,Biosphere,0.115,0.197
5z0QLEpkbUh00SevSuYxOh,ambient,Divine Moments of Truth,Shpongle,0.273,0.704
3kxC1lTGYIoe18BrfWmPjg,ambient,Gasfarming,Stars Of The Lid,0.0321,0.00396
6Rkr9b1ooiIgcebMRATPhD,ambient,Lesser Heaven,Brian Eno,0.0377,0.129
3BO3R8SLyb9cfSCgk1kXUl,ambient,Happiness,Jónsi,0.0384,0.247
6wvWLgewmu45c8xDUOaSV4,anime,"One more time,One more chance",Masayoshi Yamazaki,0.285,0.512
4ZlhlmM8zseVw24xBqRl41,anime,少女S,SCANDAL,0.794,0.91
6xLetOnSR3bBz7webJwDpq,anime,Rainbow,Kana Nishino,0.537,0.587
4lAUYVFa3HAgWd3uo8Fuhq,anime,Nervous Sightseeing - IT'S A BEAUTIFUL WORLD,Technoboys Pulcraft Green-Fund,0.377,0.93
5d05NiAwuoJ1J73hp4WAKO,anime,GO!業!スクールライフ☆,はなこ(CV.花守ゆみり),0.708,0.934
3LqAk3kHPjL7bagsxuXPNh,anime,TUMBLING DICE (NEW OPENING THEME),Tsuneo Imahori,0.506,0.893
4INELIsugoIEu92tCmHJi8,anime,CORE PRIDE,UVERworld,0.441,0.974
5EYwYPNoROh0CPxTML5iLj,anime,pastel,ClariS,0.932,0.95
27gCM0zpZDVP4z61D6SEZE,anime,クロイウタ,Eir Aoi,0.359,0.525
35DGkeAveCYbAirSToRLVM,anime,はじまりの日に,Wataru Hatano,0.626,0.737
24lnq9zfdgA1HvwaDJHlbD,anime,tiny wings,Mashiro Ayano,0.561,0.945
2zcceHJcvzXBwfhC8WImXK,anime,あなたにVacuum!〜ちょいかため〜,Lisp,0.623,0.817
75yLSvVuOZYSA7eWP6ga0z,anime,レモネイドスキャンダル,秋月マキシ(CV:芹澤優),0.542,0.957
0ferOfb9ppCVtlsOcl5BqJ,anime,Lament,Eir Aoi,0.384,0.927
2Y1Tu2JX73rmy6asrKdJIK,anime,CRAZY GONNA CRAZY,Prizmmy☆,0.57,0.955
18F6Rq65WAt7181rFscGqw,black-metal,I En Hall Med Flesk Og Mjod,Darkthrone,0.0177,1.0
3eAhSDdgFc77IBcuJ7nrSv,black-metal,Blizzard Beasts,Immortal,0.0716,0.972
1LWSqqMwZ3yhXG37sbF7nS,black-metal,This Fleshly Void,Marduk,0.0469,0.939
0qIc1IeZvyZ7nNgA6t20q4,black-metal,Pax Vobiscum,Bathory,0.245,0.794
73uy3viqwEEOajeHhsEqVX,black-metal,Sassu Wunnu (Introduction),Burzum,0.233,0.353
0d9OrRypEJekWkGtHeqNUT,black-metal,Todeswalzer,Windir,0.196,0.87
0K8HfwKGBtjTZz6MjkuErH,black-metal,Du ville ville Vestland,Taake,0.0392,0.996
0NGgDiPDXhazlo6yPZFzbG,black-metal,Inn I De Dype Skogens Fabn,Darkthrone,0.191,0.953
4ufYd8imTQ5Tfjk3YcK9w9,black-metal,Possessed by Satan,Gorgoroth,0.0373,0.998
2AE8mnnGRhIh9JB4icKMAM,black-metal,Sworn - Revamped by Ulver,Emperor,0.0385,0.998
3ELnHkb7vHLCagvZrPOQFM,black-metal,Da Den Kristine Satte Livet Til,Dimmu Borgir,0.265,0.973
7ubXwrQVijQpdo2fERvEMR,black-metal,Stigmata,Dark Funeral,0.0382,0.968
6HNupgFhT9hhboHa8lN0vB,black-metal,Dance Of The Mortal Lust,Windir,0.122,0.925
4hMx0vKP14GYJhYJz8IhTa,black-metal,To Redirect Perdition,Marduk,0.149,0.957
13KcKVgL0RBfZrbFp2ku2M,black-metal,I Am Thy Labyrinth,Mayhem,0.0441,0.883
7ivvxvWZkbJWLqblYDmg8F,bluegrass,Stars,Alison Krauss & Union Station,0.0718,0.226
5Y5mqKOWd1wzqSqBeYaeO9,bluegrass,Doubting Thomas,Nickel Creek,0.274,0.14
7luRbi6JGyCtbUe6Oj2stq,bluegrass,All The Same,The Infamous Stringdusters,0.283,0.315
490VPBUaXlSqNM0y5zP7H5,bluegrass,Words Unspoken,Steve Martin,0.535,0.524
26uHwSHlaK5mskSMhbRod3,bluegrass,Luckiest Man,The Wood Brothers,0.294,0.281
7AbqpY3fPa21fW1HEpOJ0Q,bluegrass,Midnight On The Mountain,The Steeldrivers,0.592,0.486
0qmQKSzoJlwdIF7G8MB8S4,bluegrass,Foggy Mountain Top (with Mother Maybelle Carter),Earl Scruggs,0.835,0.53
0HoAjtD5LLOQ0pAgptkUYi,bluegrass,Burning Georgia Down,Balsam Range,0.623,0.694
6ww0iDpVrIlpjnjBg7Q3pr,bluegrass,Pitkin County Turnaround,Steve Martin,0.783,0.654
0FngZC9wJx2CPJIusVNYPh,bluegrass,Pastures New,Nickel Creek,0.34,0.171
1lPXHYwyWDhOdjJPZyjc1f,bluegrass,Travelin' Blues,Bill Monroe & His Blue Grass Boys,0.823,0.418
4D6Oh3wvb0rehu9jSyaYKv,bluegrass,Long Time,Yonder Mountain String Band,0.782,0.733
7aasVRiY3nzHmzB9EAEtY3,bluegrass,In God's Country,The Infamous Stringdusters,0.413,0.576
6iBwnx1B9UcAaGP3qdFrF1,bluegrass,Cheap Reward,The Devil Makes Three,0.895,0.563
33Y6YAJFfik5t77A6OyqMS,bluegrass,Where's My Bow?,Various Artists,0.2,0.317
7aEpweOrSg9OCucFkMPf5R,blues,How Blue Can You Get,B.B. King,0.382,0.423
7ySXlyqDFNKYow0NpLJOOP,blues,Forty Four,Howlin' Wolf,0.582,0.621
6b2LoVqy6UG3jCtfDVLe9Y,blues,High Priced Woman,John Lee Hooker,0.505,0.518
0BrmbJnPYcd7gnvLYqxw0r,blues,What Kind Of Woman Is This?,Buddy Guy,0.882,0.586
5NcLB9122JCsHfC3wjRcNb,blues,B.B. Boogie,B.B. King,0.874,0.483
0u7nB1PFBfGdKh8TrwRilH,blues,"Sure 'Nuff 'n' Yes, I Do",Captain Beefheart & His Magic Band,0.846,0.704
4dJUUGPKyXf1kz7Y3neSmp,blues,My Home (Blue Eyes),Seasick Steve,0.741,0.678
2pgKtMadiwYFRHHSV9uoYd,blues,Evans Shuffle,Little Walter,0.339,0.493
3pDtK3eBB1JmAOW6wNZQbB,blues,Boot Hill - 1989 Version,Stevie Ray Vaughan,0.895,0.697
3LkhowDvQ0ky3LQ5L6TLFk,blues,Got My Mojo Working - Live,Muddy Waters,0.373,0.939
2UE4m8egf0aREmOi47sDOk,blues,Next Girl,The Black Keys,0.255,0.748
5JpzTcYa9V9HaIHKh1X3Qp,blues,Telephone Song,Stevie Ray Vaughan,0.856,0.886
0GNseRokSNhIKv9pHB8HRI,blues,I Ain't Superstitious,Howlin' Wolf,0.648,0.387
125et00BL36tXeZqE22r4M,blues,Stang's Swang,Stevie Ray Vaughan,0.514,0.471
12AwEoqFVKGaZBRcrI1Y2K,blues,I Love The Life I Live (I Live The Life I Love),Muddy Waters,0.542,0.346
7ux7IcQ5TgK6Z0vtgwQqo6,bossanova,Fato Consumado,Rosa Passos,0.681,0.458
0unWkZkMqiITfe4PrXQZNS,bossanova,Telephone Songs,Joao Gilberto & Astrud Gilberto,0.867,0.296
3GsN7XUul6ULQo9UuME4uv,bossanova,If I Drown,Ale Vanzella,0.442,0.461
1CfcbFgejqm42cPGKlBFNl,bossanova,Beija Me,Elza Soares,0.936,0.539
1dMAMThf4uhueCc51WOqIz,bossanova,Samba De Uma Nota Sò,Toquinho,0.591,0.6
2smDFoFxw2AF4vsWqmwyPy,bossanova,Bocoché,Vinícius de Moraes,0.629,0.501
6dvNnlBj8DQEQE8YiqmccO,bossanova,Rapaz de Bem (Nice Guy),Carlos Lyra,0.307,0.153
2vdiEq7UjuSWZjhUCw0obZ,bossanova,So Danco Samba,Joao Gilberto & Astrud Gilberto,0.751,0.259
3sjbgAK6gvceFhatwLgPG0,bossanova,Essa Moça Tá Diferente,Chico Buarque,0.941,0.453
7g2LtXiUL5MLQ900UaAyNt,bossanova,Tea For Two,Palmyra & Levita,0.289,0.172
5H9Qw4EwuEzElq6ihi4LS0,bossanova,E Vem o Sol,Marcos Valle,0.677,0.425
08mpVwPOT1MvWnGLm4W4Fc,bossanova,Meu Pai Oxalá - Live,Vinícius de Moraes,0.72,0.451
1PfxtDwgTUtCoXYNXGklgX,bossanova,Meditcao,Maysa,0.464,0.477
5fkAlnOp0aOqS0jEmVGths,bossanova,Two Kites / Fotografia / Eu Preciso De Você,Wanda Sá,0.809,0.447
1WNJE3xOLFO9NRkEpGD89T,bossanova,Você E Eu,Nara Leão,0.485,0.248
7ILgs068FwCIat5DA1CI99,brazil,Você,Tim Maia,0.712,0.709
3o9QS7tLm7YskEG7NWbpcz,brazil,Tente outra vez,Raul Seixas,0.337,0.526
1uVSJkagOwtgMmeexAp1hg,brazil,Samba Da Bencao,Bebel Gilberto,0.569,0.496
2WayN4wXOseclKADq2tFTY,brazil,Não Me Deixe Só,Vanessa Da Mata,0.641,0.469
1NsKsCNMbK8Impt7oSB2jM,brazil,Andei Só,Natiruts,0.802,0.518
1aUUrBmdIYN7FvIzHdpisn,brazil,Zen,Anitta,0.908,0.59
6ttKOudrrD5yjt4saUjhNa,brazil,Faroeste Caboclo,Legião Urbana,0.444,0.549
1Thcp2JGBWW1edul945eW3,brazil,De Todos os Loucos do Mundo,Clarice Falcão,0.809,0.339
3IljqNcSS7RB8ggxnig688,brazil,Linha de Frente,Various Artists,0.675,0.496
0y2IYKinRnwvL4xDXoMytJ,brazil,Na Sua Estante,Pitty,0.364,0.499
0cWA7zp6HZm5lqdmozH0TF,brazil,Dois Rios,Skank,0.381,0.621
6zQTiw3M1p58eklHhCBWyi,brazil,Coisas Que Eu Sei,Danni Carlos,0.401,0.352
3obtPOCgjbbYno2Rr1Bwyh,brazil,Como Nossos Pais,Elis Regina,0.491,0.379
6LMjjcvtlWp1Dtj19yiIvT,brazil,My Girl,TIAGO IORC,0.311,0.0929
2GplG03rw0CN2EMLzPJZAl,brazil,Já Sei Namorar,Tribalistas,0.833,0.822
0f2aTSLI84aFRmps7Klzpg,breakbeat,Battle Symphony,Various Artists,0.548,0.906
1KNWLV6YchpDzqxkrb7AnC,breakbeat,No Problem,Chase & Status,0.505,0.948
3AWLoeWBOmOhRhyvonOuHL,breakbeat,Le Banquet,C2C,0.155,0.841
1RADWAGoZRJod22HVKahvC,breakbeat,"Future Sound Of Breaks Volume 2.0 - Continuous Mix - Feat. DJ Icey, Krafty Kuts, Deekline and Ed Solo, Hyde, Hydraulix",Eric Berretta,0.246,0.692
5chjDGGXXVLgYMstFC5e6q,breakbeat,The Chopper - Bladerunner Remix,Bladerunner,0.0622,0.971
62vc0QmFXIyziLnOMMxMR9,breakbeat,RaveULator - High Eight Remix,Future Funk Squad,0.53,0.925
1poUFUckPAYTrArlnXL2Uc,breakbeat,Rubber Lips,Young-Holt Unlimited,0.947,0.72
7sAJFVC3bu6r291ICz5qRw,breakbeat,Push Up,Freestylers,0.963,0.786
1XqsWYZYAdclIFkpFbfUGS,breakbeat,Starting Over,The Crystal Method,0.191,0.948
5AMxVSn63Yi3UCO2njlvvW,breakbeat,End Credits,Chase & Status,0.0678,0.813
7iNN6Mv9iW9eRnaG0srOFh,breakbeat,We Control,Hyper,0.476,0.819
3E4eTMUEcbYfo5haDJfG1C,breakbeat,The Rock,Atomic Rooster,0.936,0.682
6gQZKkphKIMxZgca5r7ImA,breakbeat,Express Yourself - Remastered Version,Charles Wright & The Watts 103rd Street Rhythm Band,0.721,0.818
62Sth6W1iiurMorzfUoDfu,breakbeat,Ike's Mood I,Marc Mac pres. Visioneers,0.747,0.753
1W9qOaMlBUWclH1WOu57X0,breakbeat,Hot Pants... I'm Coming I'm Coming,Various Artists,0.897,0.742
45THyKtGoxYSVf61XXfTGd,british,All About You,McFly,0.259,0.579
3ViMAvyCcmbRauKuoP2GJm,british,Old Yellow Bricks,Arctic Monkeys,0.757,0.837
6jlxHfuLLletD7RYfqHJwI,british,Behind Blue Eyes,The Who,0.352,0.435
2qeESyQyH7MRHCBotCQsNq,british,Hungry Like the Wolf,Duran Duran,0.605,0.888
5T9ir6tlqhhbKVzIC0ssbs,british,Delivery,Babyshambles,0.753,0.909
09OpntwPHuNICsyEt1ETpE,british,Lullaby,The Cure,0.551,0.676
0tWfy6tlwp5jy934GLJXBJ,british,I Feel Free,Cream,0.465,0.427
78QroUGyTfWodx1FT63ZPa,british,Wild Horses,The Rolling Stones,0.189,0.318
7KxK13xRxTz6JlDtGG9GzL,british,A Design for Life,Manic Street Preachers,0.425,0.703
6TBmUrZflEhWqkuEWxaoEU,british,Golden Skans,Various Artists,0.723,0.817
7ouMYWpwJ422jRcDASZB7P,british,Knights of Cydonia,Muse,0.211,0.963
3rhITD3Q7qlOMCebBTHL8N,british,Do You Remember The First Time?,Pulp,0.212,0.879
6catF1lDhNTjjGa2GxRQNN,british,You'll Never Walk Alone - Mono; 2002 Remaster,Gerry & The Pacemakers,0.285,0.265
3kKVqFF4pv4EXeQe428zl2,british,Protection,Massive Attack,0.737,0.421
0UPeQOswVQm4IEPLyzhAt2,british,Me & Mr Jones,Amy Winehouse,0.454,0.804
1YQF92Z2w71SrMJePND079,cantopop,祝福,Sally Yeh,0.325,0.336
3szpUCUlNPwtIOrkUMJs98,cantopop,華麗邂逅,Joey Yung,0.526,0.599
5UNtpFPpSB8hnSFxKMiN1n,cantopop,非常口,Grasshopper,0.797,0.847
6kwpls8fknrSXrRHmFo3UE,cantopop,空床期,王若琪,0.258,0.495
7oRZt9H4a90bKeq3DnueH0,cantopop,約定,Faye Wong,0.18,0.345
6uJ0j6KIyUe92sMyTQzBP1,cantopop,姊妹,Miriam Yeung,0.537,0.645
2FB5nLHmhlFtjgn5Oommsj,cantopop,Zhong Sheng Xue Xi,Stephanie Cheng,0.236,0.314
1CLOZN1MO3w9QxhMYCKFRU,cantopop,極愛自己,Edison Chen,0.22,0.63
6EsYRaxP09JGrmfiUQOuSi,cantopop,So Hot,Kelly Chen,0.855,0.696
2fm4l2VraQgIIZHuKgPHcG,cantopop,在家千日好,Grasshopper,0.501,0.262
39BBkHK9vlerqdEskVdwE3,cantopop,最後一夜,Prudence Liew,0.887,0.83
75fUsE9ye4B8JgNVEp8lYz,cantopop,Shall We Talk,Eason Chan,0.496,0.309
4Wm273AJExPbPacCiQRQPd,cantopop,在動物園散步才是正經事,my little airport,0.931,0.473
0xG4Fmm5W0Hm7YHgwfFv9X,cantopop,除下吊帶前,Fiona Sit,0.352,0.599
1eGyoRdCnxOLYnT2nW7o4I,cantopop,四十筆劃,Black Box,0.186,0.4
0aRwOtxHFdRDrdlgkDtv3o,chicago-house,Who's Hoo,Various Artists,0.0794,0.557
5SX7HvgyaJGgIOiEvNrQsA,chicago-house,Alright,Mr. Fingers,0.69,0.456
3fmgtLgTlgYvGGI8Dt3vpA,chicago-house,Jasmine Dragon,Jimpster,0.962,0.644
2zrWkcgscVHyPNfZEOk23z,chicago-house,Contact,Big Audio Dynamite,0.879,0.755
3KkZ41mVEVQrdNTOv6xh08,chicago-house,Show Me,The Cover Girls,0.704,0.784
0YNdFAQRgSawZLbjzTfVfj,chicago-house,Peace Pipe,Danny Krivit,0.584,0.889
4eayai01bYx0xFaNr606Nx,chicago-house,Rainbow,Various Artists,0.714,0.649
5LP7kxXHO9QN57bwDRb3LG,chicago-house,It's You,Various Artists,0.804,0.451
5J0sxLeabLWvvopMAv9UZd,chicago-house,Fantasy,Various Artists,0.967,0.603
5E5TuerJ7a9hYU9u4aWgeL,chicago-house,Something Goin' On (In Your Soul),Todd Terry,0.849,0.747
6CDYE9I66l3Q4iow08ud7H,chicago-house,Jack Your Body - Hardfloor Radio Edit,"Steve ""Silk"" Hurley",0.189,0.661
7hnqJYCKZFW7vMoykaraZG,chicago-house,French Kiss - The Original Underground Mix,Various Artists,0.564,0.505
2WpCr1ls4bjL54NAcN5DAA,chicago-house,Finally,Various Artists,0.876,0.718
2LAtS1P5mGPYczW5cDKbwT,chicago-house,Interface Reality,Children Of The Bong,0.414,0.743
1RAb2IrGOBsZG2791LDIpW,chicago-house,You Know How to Love Me - Long Version,Phyllis Hyman,0.971,0.786
4Cd01GWLuMTNZhW0DE7cF4,children,Gitchee Gitchee Goo,Various Artists,0.895,0.946
2b712q3E27nyW6LGsZxr0y,children,Dancing On My Own,Robyn,0.261,0.865
3LCS3m0N3rHiomapk8VQ5a,children,We No Speak Americano - Original,Various Artists,0.474,0.693
2oTDOIAdsxPTE7yAp4YOcv,children,Jump Around,House Of Pain,0.818,0.71
1IoEITHkdiep6Slg3Hti0h,children,Wheels On The Bus,Raffi,0.797,0.309
67awxiNHNyjMXhVgsHuIrs,children,Turn Down for What,DJ Snake,0.0815,0.799
3usKIsuQTKeUynPMz5k303,children,One Everything,They Might Be Giants (For Kids),0.765,0.582
5XDxDzQcdwRN88DqRj0OXQ,children,"The Bare Necessities - From ""The Jungle Book""/Soundtrack Version",Various Artists,0.56,0.249
55h7vJchibLdUkxdlX3fK7,children,Treasure,Bruno Mars,0.937,0.692
6vgdsUtEcdRJtXbr1w9RT1,children,Money On My Mind,Sam Smith,0.733,0.808
6jTYkPw8GYo2bBVNzzslfp,children,"Wolves - From ""Frozen""/Score",Various Artists,0.0366,0.429
4lY95OMGb9WxP6IYut64ir,children,Shake It Out,Florence + The Machine,0.221,0.804
5Qyd8l057fKYP5A3Xdt7gW,children,D Is for Drums,They Might Be Giants (For Kids),0.723,0.703
25KeU2hx4zRfTFFHzM8iap,children,No Meu Coração Você Vai Sempre Estar (You Will Be In My Heart),Various Artists,0.283,0.175
3E5XrOtqMAs7p2wKhwgOjf,children,Just Dance,Lady Gaga,0.679,0.732
1JP779IkUMANQVaPGzc6Ld,chill,Lights,Ellie Goulding,0.278,0.791
6ICYs37HPIzaqKyJf8kqFN,chill,Not With Haste,Mumford & Sons,0.108,0.475
4N5TCcb3z1emeqmg5JCCI3,chill,Wings,Birdy,0.224,0.707
1gihuPhrLraKYrJMAEONyc,chill,Feel So Close - Radio Edit,Calvin Harris,0.919,0.924
7Fw5i56my24ZBnGS7hFX2n,chill,Pompeii,Bastille,0.591,0.709
51QEyJI5M7uyd8DOh9tqQY,chill,Buzzcut Season,Lorde,0.247,0.62
1kWja6NVaLZThMop9MYVDz,chill,Wrong Way,Sublime,0.916,0.667
1ph6Bncj7s3BmYp6FkIzP8,chill,Miss You,Various Artists,0.216,0.134
3e0yTP5trHBBVvV32jwXqF,chill,Anna Sun,WALK THE MOON,0.34,0.844
4s9MBsOC7ntOehwpH0EJLL,chill,Your Bones,Of Monsters and Men,0.327,0.725
33e9HtOfO1ye1h8xQ7Foc9,chill,The Cave,Mumford & Sons,0.345,0.499
7kSLdGdXLey7pzLsWpdg1h,chill,Little Things,One Direction,0.556,0.222
0ygAYQQy7bfDN6gH640bbl,chill,Wake Me Up,Ed Sheeran,0.336,0.209
3bidbhpOYeV4knp8AIu8Xn,chill,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.847,0.922
0qcr5FMsEO85NAQjrlDRKo,chill,"Let It Go - From ""Frozen""/Soundtrack Version",Various Artists,0.371,0.485
24A3HjyT5sGnrejr7yLDod,classical,"Nocturne in E-Flat Major, Op. 9, No.2",Frédéric Chopin,0.071,0.0462
1VcGL267AesH4UouorKhsE,classical,"Symphony No 2, Op. 38 ""Mesopotamia"": X.Ballad of Mesopotamia",Fazıl Say,0.0697,0.264
6s0M6NqA9YIWnsRPMKRsi3,classical,Homemade Mountains,Christina Vantzou,0.0353,0.135
0sPzBdSWYsp5X9qLyplRVV,classical,Bær,Hildur Guðnadóttir,0.0386,0.07
0xX7kREWmOGBWzYNcpZwRN,classical,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",Joshua Bell,0.179,0.135
70OjkyHJSnoCNtXS4Xz1XB,classical,Sofdu unga astin min (Sweetly Sleeep),Kór Langholtskirkju,0.0692,0.1
6dVD3oYEIpEz73i7MgS4Em,classical,"Symphony No 2, Op. 38 ""Mesopotamia"": VIII.Euphrates River",Fazıl Say,0.219,0.203
7JC3Est8tdw3nMzBg2P2EQ,classical,The Thief,Howard Shore,0.0894,0.109
7H1WfmD5iXfUmPZA8xKZM2,classical,"Respighi: Pini di Roma, P. 141: IV. I pini della Via Appia",Ottorino Respighi,0.0573,0.218
6tEO7bieJDK8CAI0zplfu0,classical,"Piano Concerto No. 2, Sz. 95: I. Allegro",Lang Lang,0.126,0.294
